Date,Elev_ft,Elev_m
1/1/17,4192.2,1277.78256
1/2/17,4192.2,1277.78256
1/3/17,4192.2,1277.78256
1/4/17,4192.3,1277.81304
1/5/17,4192.3,1277.81304
1/6/17,4192.2,1277.78256
1/7/17,4192.2,1277.78256
1/8/17,4192.2,1277.78256
1/9/17,4192.2,1277.78256
1/10/17,4192.1,1277.75208
1/11/17,4192.2,1277.78256
1/12/17,4192.2,1277.78256
1/13/17,4192.2,1277.78256
1/14/17,4192.2,1277.78256
1/15/17,4192.2,1277.78256
1/16/17,4192.3,1277.81304
1/17/17,4192.2,1277.78256
1/18/17,4192.3,1277.81304
1/19/17,4192.3,1277.81304
1/20/17,4192.3,1277.81304
1/21/17,4192.3,1277.81304
1/22/17,4192.3,1277.81304
1/23/17,4192.3,1277.81304
1/24/17,4192.4,1277.84352
1/25/17,4192.4,1277.84352
1/26/17,4192.4,1277.84352
1/27/17,4192.4,1277.84352
1/28/17,4192.3,1277.81304
1/29/17,4192.4,1277.84352
1/30/17,4192.3,1277.81304
1/31/17,4192.3,1277.81304
2/1/17,4192.4,1277.84352
2/2/17,4192.4,1277.84352
2/3/17,4192.4,1277.84352
2/4/17,4192.4,1277.84352
2/5/17,4192.4,1277.84352
2/6/17,4192.3,1277.81304
2/7/17,4192.4,1277.84352
2/8/17,4192.4,1277.84352
2/9/17,4192.5,1277.874
2/10/17,4192.6,1277.90448
2/11/17,4192.6,1277.90448
2/12/17,4192.7,1277.93496
2/13/17,4192.7,1277.93496
2/14/17,4192.8,1277.96544
2/15/17,4192.8,1277.96544
2/16/17,4192.9,1277.99592
2/17/17,4192.9,1277.99592
2/18/17,4193,1278.0264
2/19/17,4193,1278.0264
2/20/17,4193,1278.0264
2/21/17,4193,1278.0264
2/22/17,4193.2,1278.08736
2/23/17,4193.5,1278.1788
2/24/17,4193.4,1278.14832
2/25/17,4193.4,1278.14832
2/26/17,4193.4,1278.14832
2/27/17,4193.5,1278.1788
2/28/17,4193.6,1278.20928
3/1/17,4193.5,1278.1788
3/2/17,4193.6,1278.20928
3/3/17,4193.6,1278.20928
3/4/17,4193.6,1278.20928
3/5/17,4193.7,1278.23976
3/6/17,4193.8,1278.27024
3/7/17,4193.7,1278.23976
3/8/17,4193.8,1278.27024
3/9/17,4193.8,1278.27024
3/10/17,4193.9,1278.30072
3/11/17,4193.9,1278.30072
3/12/17,4193.9,1278.30072
3/13/17,4193.9,1278.30072
3/14/17,4194,1278.3312
